,name,date,platform,score,url,ratings,userscore
140,No More Heroes,"October 28, 2020",Switch,82,/game/switch/no-more-heroes,32,8.7
141,Gears 5: Hivebusters,"December 15, 2020",Xbox One,82,/game/xbox-one/gears-5-hivebusters,110,8.5
142,Under Night In-Birth Exe:Late[cl-r],"February 20, 2020",Switch,82,/game/switch/under-night-in-birth-exelatecl-r,31,7.6
143,Horace,"October 21, 2020",Switch,82,/game/switch/horace,30,7.5
144,Creaks,"July 22, 2020",PC,82,/game/pc/creaks,52,8.2
145,Ys Origin,"October 1, 2020",Switch,82,/game/switch/ys-origin,22,8.1
146,The Sims 4: Eco Lifestyle,"June 5, 2020",PC,82,/game/pc/the-sims-4-eco-lifestyle,25,3.4
147,Borderlands Legendary Collection,"May 29, 2020",Switch,82,/game/switch/borderlands-legendary-collection,61,8.3
148,Devil May Cry 3: Special Edition,"February 20, 2020",Switch,82,/game/switch/devil-may-cry-3-special-edition,81,8.1
149,Streets of Rage 4,"April 30, 2020",PlayStation 4,82,/game/playstation-4/streets-of-rage-4,326,8.1
150,Two Point Hospital,"February 25, 2020",PlayStation 4,82,/game/playstation-4/two-point-hospital,53,7.1
151,Crown Trick,"October 16, 2020",PC,82,/game/pc/crown-trick,15,7.7
152,EA SPORTS UFC 4,"August 14, 2020",Xbox One,82,/game/xbox-one/ea-sports-ufc-4,86,2.1
153,WRC 9 FIA World Rally Championship,"November 12, 2020",PlayStation 5,82,/game/playstation-5/wrc-9-fia-world-rally-championship,21,7.0
154,Paradise Killer,"September 4, 2020",PC,82,/game/pc/paradise-killer,15,7.7
155,MotoGP 20,"April 23, 2020",Xbox One,82,/game/xbox-one/motogp-20,15,6.3
156,Fuser,"November 10, 2020",PlayStation 4,82,/game/playstation-4/fuser,13,7.0
157,Tom Clancy's The Division 2: Warlords of New York,"March 3, 2020",Xbox One,82,/game/xbox-one/tom-clancys-the-division-2-warlords-of-new-york,175,1.1
158,Clubhouse Games: 51 Worldwide Classics,"June 5, 2020",Switch,82,/game/switch/clubhouse-games-51-worldwide-classics,129,7.7
159,Sakuna: Of Rice and Ruin,"November 10, 2020",PC,82,/game/pc/sakuna-of-rice-and-ruin,31,7.1
160,No More Heroes 2: Desperate Struggle,"October 28, 2020",Switch,82,/game/switch/no-more-heroes-2-desperate-struggle,20,8.0
161,Pixel Ripped 1995,"May 12, 2020",PlayStation 4,82,/game/playstation-4/pixel-ripped-1995,19,6.7
162,Call of the Sea,"December 8, 2020",Xbox One,81,/game/xbox-one/call-of-the-sea,65,7.5
163,DIRT 5,"November 10, 2020",Xbox Series X,81,/game/xbox-series-x/dirt-5,49,6.4
164,Tokyo Mirage Sessions #FE Encore,"January 17, 2020",Switch,81,/game/switch/tokyo-mirage-sessions-fe-encore,223,6.3
165,Paradise Killer,"September 4, 2020",Switch,81,/game/switch/paradise-killer,14,8.6
166,Remnant: From the Ashes - Swamps of Corsus,"April 28, 2020",PC,81,/game/pc/remnant-from-the-ashes---swamps-of-corsus,13,6.8
167,Ghostrunner,"October 27, 2020",PC,81,/game/pc/ghostrunner,372,8.4
168,Jet Lancer,"May 12, 2020",Switch,81,/game/switch/jet-lancer,0,tbd
169,Hunt: Showdown,"February 18, 2020",PlayStation 4,81,/game/playstation-4/hunt-showdown,148,7.0
170,Aviary Attorney: Definitive Edition,"January 30, 2020",Switch,81,/game/switch/aviary-attorney-definitive-edition,8,7.8
171,The Pedestrian,"January 29, 2020",PC,81,/game/pc/the-pedestrian,38,7.6
172,Suzerain,"December 4, 2020",PC,81,/game/pc/suzerain,27,8.4
173,Chicken Police - Paint it RED!,"November 5, 2020",Xbox One,81,/game/xbox-one/chicken-police---paint-it-red!,6,6.3
174,Bloodroots,"February 28, 2020",PlayStation 4,81,/game/playstation-4/bloodroots,26,6.4
175,Operencia: The Stolen Sun,"March 31, 2020",Switch,81,/game/switch/operencia-the-stolen-sun,19,7.6
176,Wunderling,"March 5, 2020",Switch,81,/game/switch/wunderling,4,8.0
177,Rune Factory 4 Special,"February 25, 2020",Switch,81,/game/switch/rune-factory-4-special,81,8.1
178,Fuser,"November 10, 2020",Xbox One,81,/game/xbox-one/fuser,8,7.8
179,Going Under,"September 24, 2020",Switch,81,/game/switch/going-under,8,8.3
180,Filament,"April 23, 2020",PC,81,/game/pc/filament,7,7.6
