,name,date,platform,score,url,ratings,reviews,userscore
86,Samurai Warriors 5,"July 27, 2021",Xbox One,77,/game/xbox-one/samurai-warriors-5,9,12,7.1
87,Twelve Minutes,"August 19, 2021",PC,77,/game/pc/twelve-minutes,327,47,6.1
88,Dodgeball Academia,"August 5, 2021",PC,77,/game/pc/dodgeball-academia,34,10,8.1
89,Game Builder Garage,"June 11, 2021",Switch,77,/game/switch/game-builder-garage,32,52,8.0
90,OMNO,"July 29, 2021",Xbox One,77,/game/xbox-one/omno,33,11,7.7
91,Sniper Elite VR,"July 8, 2021",PlayStation 4,77,/game/playstation-4/sniper-elite-vr,0,10,tbd
92,Scarlet Nexus,"June 25, 2021",Xbox Series X,77,/game/xbox-series-x/scarlet-nexus,51,21,8.5
93,Green Hell,"June 9, 2021",PlayStation 4,76,/game/playstation-4/green-hell,29,8,8.2
94,Sonic Colors: Ultimate,"September 7, 2021",PlayStation 4,76,/game/playstation-4/sonic-colors-ultimate,0,31,tbd
95,Trigger Witch,"July 28, 2021",PlayStation 4,76,/game/playstation-4/trigger-witch,0,7,tbd
96,Final Fantasy II Pixel Remaster,"July 28, 2021",PC,76,/game/pc/final-fantasy-ii-pixel-remaster,26,9,3.8
97,LEGO Builder's Journey,"June 22, 2021",Switch,76,/game/switch/lego-builders-journey,0,11,tbd
98,Greak: Memories of Azur,"August 17, 2021",PlayStation 5,76,/game/playstation-5/greak-memories-of-azur,6,14,6.7
99,Ys IX: Monstrum Nox,"July 6, 2021",Switch,76,/game/switch/ys-ix-monstrum-nox,18,12,8.0
100,Tormented Souls,"August 27, 2021",PlayStation 5,76,/game/playstation-5/tormented-souls,31,10,8.5
101,Axiom Verge 2,"August 11, 2021",Switch,76,/game/switch/axiom-verge-2,40,14,7.3
102,The Big Con,"August 31, 2021",PC,76,/game/pc/the-big-con,0,11,tbd
103,Samurai Warriors 5,"July 27, 2021",PlayStation 4,76,/game/playstation-4/samurai-warriors-5,22,37,7.7
104,Trigger Witch,"July 29, 2021",Switch,75,/game/switch/trigger-witch,0,9,tbd
105,Fracked,"August 20, 2021",PlayStation 4,75,/game/playstation-4/fracked,0,12,tbd
